time,ch0,ch1
00:00:00.111.250,-0.0195,1.5625
00:00:00.111.500,-0.0391,1.6040
00:00:00.111.750,-0.0391,1.6333
00:00:00.112.000,-0.0586,1.6626
00:00:00.112.250,-0.0684,1.6821
00:00:00.112.500,-0.0488,1.7114
00:00:00.112.750,-0.0781,1.7529
00:00:00.113.000,-0.0879,1.7822
00:00:00.113.250,-0.1196,1.8018
00:00:00.113.500,-0.1392,1.8018
00:00:00.113.750,-0.2588,1.7114
00:00:00.114.000,-0.1880,1.5820
00:00:00.114.250,-0.1782,1.4746
00:00:00.114.500,-0.2173,1.3843
00:00:00.114.750,-0.2393,1.2646
00:00:00.115.000,-0.2173,1.1450
00:00:00.115.250,-0.2686,0.9961
00:00:00.115.500,-0.2979,0.8569
00:00:00.115.750,-0.3369,0.6763
00:00:00.116.000,-0.3076,0.5176
00:00:00.116.250,-0.3467,0.3784
00:00:00.116.500,-0.3784,0.2295
00:00:00.116.750,-0.4175,0.0708
00:00:00.117.000,-0.3979,-0.0879
00:00:00.117.250,-0.4077,-0.2490
00:00:00.117.500,-0.4272,-0.3882
00:00:00.117.750,-0.4077,-0.5273
00:00:00.118.000,-0.3589,-0.6470
00:00:00.118.250,-0.2979,-0.7568
00:00:00.118.500,-0.2490,-0.8643
00:00:00.118.750,-0.1782,-0.9546
00:00:00.119.000,-0.1587,-1.0449
00:00:00.119.250,-0.1001,-1.1230
00:00:00.119.500,-0.0684,-1.1938
00:00:00.119.750,-0.0391,-1.2524
00:00:00.120.000,0.0000,-1.2939
00:00:00.120.250,0.0195,-1.3721
00:00:00.120.500,0.0293,-1.4331
00:00:00.120.750,0.0708,-1.4819
00:00:00.121.000,0.0708,-1.5332
00:00:00.121.250,0.0903,-1.5820
00:00:00.121.500,0.0903,-1.6016
00:00:00.121.750,0.0903,-1.6309
00:00:00.122.000,0.1099,-1.6821
00:00:00.122.250,0.1196,-1.7114
00:00:00.122.500,0.1294,-1.7505
00:00:00.122.750,0.1294,-1.7822
00:00:00.123.000,0.1196,-1.8213
00:00:00.123.250,0.1489,-1.8213
00:00:00.123.500,0.1904,-1.8018
00:00:00.123.750,0.3003,-1.7114
00:00:00.124.000,0.2393,-1.6211
00:00:00.124.250,0.2393,-1.5234
00:00:00.124.500,0.2686,-1.4038
00:00:00.124.750,0.2783,-1.2744
00:00:00.125.000,0.3003,-1.1548
00:00:00.125.250,0.3198,-1.0156
00:00:00.125.500,0.3589,-0.8545
00:00:00.125.750,0.3784,-0.6958
00:00:00.126.000,0.3784,-0.5273
00:00:00.126.250,0.3979,-0.3784
00:00:00.126.500,0.4492,-0.2295
00:00:00.126.750,0.4688,-0.0684
00:00:00.127.000,0.4688,0.0708
00:00:00.127.250,0.4883,0.2100
00:00:00.127.500,0.4883,0.3491
00:00:00.127.750,0.4785,0.4688
00:00:00.128.000,0.4492,0.5786
00:00:00.128.250,0.4395,0.6982
00:00:00.128.500,0.3979,0.7959
00:00:00.128.750,0.3491,0.9058
00:00:00.129.000,0.2490,0.9766
00:00:00.129.250,0.2393,1.0767
00:00:00.129.500,0.2002,1.1646
00:00:00.129.750,0.1392,1.2158
00:00:00.130.000,0.1196,1.2939
00:00:00.130.250,0.0806,1.3647
00:00:00.130.500,0.0708,1.4136
00:00:00.130.750,0.0293,1.4746
00:00:00.131.000,0.0000,1.5137
00:00:00.131.250,0.0000,1.5723
00:00:00.131.500,-0.0098,1.6138
00:00:00.131.750,-0.0488,1.6333
