time,ch0,ch1
00:00:00.092.907,-0.2490,-0.7764
00:00:00.093.240,-0.1782,-0.8960
00:00:00.093.573,-0.1294,-0.9839
00:00:00.093.906,-0.1001,-1.0840
00:00:00.094.239,-0.0684,-1.1743
00:00:00.094.572,-0.0391,-1.2427
00:00:00.094.905,-0.0098,-1.3135
00:00:00.095.238,0.0195,-1.3721
00:00:00.095.571,0.0098,-1.4136
00:00:00.095.904,0.0513,-1.4722
00:00:00.096.237,0.0513,-1.5015
00:00:00.096.570,0.0610,-1.5332
00:00:00.096.903,0.0806,-1.5723
00:00:00.097.236,0.0708,-1.6113
00:00:00.097.569,0.0806,-1.6113
00:00:00.097.902,0.1489,-1.5527
00:00:00.098.235,0.1709,-1.4624
00:00:00.098.568,0.2100,-1.3330
00:00:00.098.901,0.2100,-1.2036
00:00:00.099.234,0.2686,-1.0645
00:00:00.099.567,0.2881,-0.8862
00:00:00.099.900,0.3296,-0.6665
00:00:00.100.233,0.3589,-0.4663
00:00:00.100.566,0.3882,-0.3076
00:00:00.100.899,0.4492,-0.1099
00:00:00.101.232,0.4590,0.0610
00:00:00.101.565,0.4688,0.2295
00:00:00.101.898,0.4688,0.3687
00:00:00.102.231,0.4590,0.5078
00:00:00.102.564,0.4297,0.6274
00:00:00.102.897,0.3882,0.7568
00:00:00.103.230,0.3198,0.8667
00:00:00.103.563,0.2588,0.9766
00:00:00.103.896,0.2197,1.0645
00:00:00.104.229,0.1587,1.1548
00:00:00.104.562,0.1294,1.2256
00:00:00.104.895,0.0903,1.2939
00:00:00.105.228,0.0513,1.3745
00:00:00.105.561,0.0195,1.4136
00:00:00.105.894,0.0293,1.4526
00:00:00.106.227,-0.0098,1.4941
00:00:00.106.560,-0.0098,1.5332
00:00:00.106.893,-0.0195,1.5625
00:00:00.107.226,0.0000,1.6138
00:00:00.107.559,-0.0781,1.6235
00:00:00.107.892,-0.0586,1.5527
00:00:00.108.225,-0.1099,1.4233
00:00:00.108.558,-0.1294,1.3232
00:00:00.108.891,-0.1587,1.1743
00:00:00.109.224,-0.1978,1.0449
00:00:00.109.557,-0.2173,0.8667
00:00:00.109.890,-0.2588,0.6665
00:00:00.110.223,-0.2783,0.4688
00:00:00.110.556,-0.3174,0.2783
00:00:00.110.889,-0.3467,0.1001
00:00:00.111.222,-0.3784,-0.0586
00:00:00.111.555,-0.3784,-0.2393
00:00:00.111.888,-0.3979,-0.3979
00:00:00.112.221,-0.3687,-0.5273
00:00:00.112.554,-0.3076,-0.6567
00:00:00.112.887,-0.2490,-0.7764
00:00:00.113.220,-0.1880,-0.8862
00:00:00.113.553,-0.1392,-0.9839
00:00:00.113.886,-0.0781,-1.0742
00:00:00.114.219,-0.0293,-1.1646
00:00:00.114.552,-0.0195,-1.2427
00:00:00.114.885,0.0000,-1.3135
00:00:00.115.218,0.0098,-1.3721
00:00:00.115.551,0.0415,-1.4331
00:00:00.115.884,0.0513,-1.4722
00:00:00.116.217,0.0708,-1.5112
00:00:00.116.550,0.0610,-1.5430
00:00:00.116.883,0.0708,-1.5723
00:00:00.117.216,0.0708,-1.6309
00:00:00.117.549,0.1099,-1.6528
00:00:00.117.882,0.1587,-1.5918
00:00:00.118.215,0.1807,-1.4624
00:00:00.118.548,0.2002,-1.3623
00:00:00.118.881,0.2393,-1.2134
00:00:00.119.214,0.2588,-1.0742
00:00:00.119.547,0.3101,-0.8862
00:00:00.119.880,0.3394,-0.6860
00:00:00.120.213,0.3589,-0.4980
00:00:00.120.546,0.3784,-0.3076
00:00:00.120.879,0.4297,-0.1392
00:00:00.121.212,0.4590,0.0513
00:00:00.121.545,0.4980,0.2100
00:00:00.121.878,0.4785,0.3687
00:00:00.122.211,0.4688,0.5078
00:00:00.122.544,0.4590,0.6274
00:00:00.122.877,0.3979,0.7373
00:00:00.123.210,0.3198,0.8667
00:00:00.123.543,0.2393,0.9570
00:00:00.123.876,0.2100,1.0547
00:00:00.124.209,0.1807,1.1353
00:00:00.124.542,0.1196,1.2158
00:00:00.124.875,0.0903,1.2939
00:00:00.125.208,0.0708,1.3452
00:00:00.125.541,0.0293,1.4136
00:00:00.125.874,0.0195,1.4526
00:00:00.126.207,0.0000,1.5039
00:00:00.126.540,-0.0098,1.5430
00:00:00.126.873,-0.0098,1.5820
00:00:00.127.206,-0.0195,1.6235
00:00:00.127.539,-0.0586,1.6431
00:00:00.127.872,-0.0781,1.5723
00:00:00.128.205,-0.1294,1.4526
00:00:00.128.538,-0.1294,1.3452
00:00:00.128.871,-0.1587,1.2061
00:00:00.129.204,-0.1782,1.0645
00:00:00.129.537,-0.2173,0.8765
00:00:00.129.870,-0.2686,0.6763
00:00:00.130.203,-0.2783,0.4785
00:00:00.130.536,-0.3174,0.3003
00:00:00.130.869,-0.3589,0.1294
00:00:00.131.202,-0.3589,-0.0391
00:00:00.131.535,-0.4077,-0.2295
00:00:00.131.868,-0.3979,-0.3882
00:00:00.132.201,-0.3687,-0.5176
00:00:00.132.534,-0.3271,-0.6372
00:00:00.132.867,-0.2588,-0.7666
00:00:00.133.200,-0.1880,-0.8765
00:00:00.133.533,-0.1294,-0.9937
00:00:00.133.866,-0.1001,-1.0742
00:00:00.134.199,-0.0488,-1.1646
00:00:00.134.532,-0.0195,-1.2329
00:00:00.134.865,0.0195,-1.3037
00:00:00.135.198,0.0098,-1.3721
00:00:00.135.531,0.0415,-1.4331
00:00:00.135.864,0.0708,-1.4624
00:00:00.136.197,0.0610,-1.5112
00:00:00.136.530,0.0708,-1.5625
00:00:00.136.863,0.0806,-1.5723
00:00:00.137.196,0.0903,-1.6406
00:00:00.137.529,0.1001,-1.6528
00:00:00.137.862,0.1587,-1.6211
00:00:00.138.195,0.1904,-1.4917
00:00:00.138.528,0.2100,-1.3721
00:00:00.138.861,0.2100,-1.2427
00:00:00.139.194,0.2588,-1.0742
00:00:00.139.527,0.3003,-0.9155
